Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
21,Dudley Bradley\bradldu01,SG,24,PHO,64,3,14.6,2.0,4.4,0.445,0.0,0.1,0.25,1.9,4.3,0.44799999999999995,0.447,1.2,1.6,0.74,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1,937,10.9,0.5,0.013999999999999999,0.35600000000000004,3.6,6.6,5.1,11.4,4.0,0.6,17.9,17.4,-0.3,1.7,1.4,0.071,-2.9,1.5,-1.4,0.1
22,Brad Branson\bransbr01,PF,23,CLE,10,3,17.6,2.1,5.2,0.40399999999999997,0.0,0.0,,2.1,5.2,0.40399999999999997,0.40399999999999997,1.1,1.2,0.917,1.4,1.9,3.3,0.6,0.5,0.4,1.3,1.7,5.3,176,8.4,0.46299999999999997,0.0,0.231,8.5,13.0,10.6,4.6,1.4,1.3,18.5,16.5,-0.1,0.1,-0.1,-0.016,-4.3,-0.9,-5.2,-0.1
23,Mike Bratz\bratzmi01,PG,26,SAS,81,3,20.0,2.8,7.0,0.40700000000000003,0.6,1.7,0.33299999999999996,2.3,5.3,0.431,0.44799999999999995,1.5,1.9,0.7829999999999999,0.5,1.6,2.0,5.4,0.8,0.1,1.7,2.3,7.7,1616,14.2,0.495,0.244,0.26899999999999996,2.7,8.4,5.5,34.2,1.9,0.4,18.0,19.0,1.5,1.2,2.7,0.081,0.6,-1.8,-1.2,0.3
24,Jim Brewer\breweji01,PF,30,LAL,71,9,13.6,1.1,2.5,0.46299999999999997,0.0,0.1,0.16699999999999998,1.1,2.4,0.473,0.466,0.1,0.3,0.368,1.5,2.2,3.7,0.6,0.5,0.6,0.5,1.8,2.4,966,10.1,0.46399999999999997,0.034,0.109,12.4,17.2,14.9,4.8,1.9,2.5,16.8,9.1,0.4,1.4,1.8,0.08800000000000001,-2.1,2.1,0.1,0.5
25,Ron Brewer\brewero01,SG,26,TOT,72,45,32.2,7.9,16.6,0.47700000000000004,0.1,0.4,0.258,7.8,16.2,0.48200000000000004,0.48,2.9,3.6,0.812,0.8,1.5,2.2,2.6,1.1,0.4,1.7,2.1,18.8,2319,15.9,0.519,0.026000000000000002,0.218,2.5,5.3,3.9,12.8,1.7,0.7,8.7,25.2,2.6,0.7,3.3,0.068,0.9,-2.2,-1.3,0.4
25,Ron Brewer\brewero01,SG,26,SAS,25,4,23.8,7.3,14.4,0.504,0.1,0.4,0.3,7.2,14.0,0.51,0.508,3.1,3.5,0.875,0.5,1.5,2.0,2.7,0.9,0.3,1.4,1.5,17.8,595,21.5,0.555,0.027999999999999997,0.244,2.3,6.7,4.5,17.9,1.8,0.6,7.8,29.0,1.5,0.4,2.0,0.158,3.3,-2.7,0.5,0.4
25,Ron Brewer\brewero01,SG,26,CLE,47,41,36.7,8.2,17.7,0.465,0.1,0.4,0.23800000000000002,8.1,17.3,0.47,0.46799999999999997,2.9,3.7,0.779,0.9,1.5,2.4,2.6,1.3,0.5,1.9,2.4,19.4,1724,14.0,0.502,0.025,0.20600000000000002,2.6,4.8,3.6,11.1,1.7,0.8,9.1,23.9,1.0,0.3,1.3,0.037000000000000005,0.1,-2.0,-1.9,0.0
26,Junior Bridgeman\bridgju01,SF,28,MIL,41,4,22.5,5.1,10.6,0.483,0.1,0.2,0.444,5.0,10.3,0.483,0.48700000000000004,2.2,2.5,0.8640000000000001,0.9,2.1,3.0,2.7,0.7,0.1,1.6,2.2,12.5,924,16.0,0.534,0.021,0.23800000000000002,4.8,10.5,7.8,17.6,1.5,0.2,11.8,24.1,1.4,1.2,2.6,0.136,0.3,-1.2,-0.9,0.3
27,Allan Bristow\bristal01,SF,30,DAL,82,54,24.8,2.7,6.1,0.43700000000000006,0.0,0.2,0.16699999999999998,2.6,5.9,0.447,0.44,1.6,2.0,0.8170000000000001,1.5,2.7,4.1,5.5,0.8,0.1,2.0,2.7,7.0,2035,12.6,0.502,0.036000000000000004,0.32899999999999996,6.5,12.8,9.5,29.3,1.6,0.2,22.4,14.9,1.3,1.2,2.5,0.059000000000000004,-0.5,-0.1,-0.6,0.7
28,Jim Brogan\brogaji01,SG,23,SDC,63,19,16.3,2.6,5.8,0.45299999999999996,0.1,0.5,0.281,2.5,5.3,0.47,0.466,1.0,1.3,0.726,1.0,0.9,1.9,2.5,0.8,0.2,1.3,2.0,6.3,1027,13.0,0.499,0.08800000000000001,0.231,6.9,7.0,7.0,20.6,2.3,0.7,17.2,19.2,0.6,0.2,0.8,0.035,-0.1,-1.5,-1.6,0.1
29,Michael Brooks\brookmi01,SF,23,SDC,82,73,33.5,6.5,13.0,0.504,0.0,0.1,0.0,6.5,12.9,0.507,0.504,2.5,3.3,0.757,2.5,5.1,7.6,2.9,1.4,0.5,2.4,3.5,15.6,2750,16.1,0.539,0.006999999999999999,0.25,8.7,18.6,13.5,12.2,1.9,0.8,14.3,20.4,3.4,1.2,4.5,0.079,1.0,0.0,1.0,2.1
30,Fred Brown\brownfr01,SG,33,SEA,82,2,21.8,4.8,10.5,0.455,0.3,0.9,0.325,4.5,9.6,0.46799999999999997,0.47,1.4,1.6,0.86,0.5,1.2,1.7,2.9,0.8,0.0,1.2,1.4,11.2,1785,15.2,0.501,0.08900000000000001,0.149,2.6,5.8,4.3,20.1,1.9,0.1,9.5,23.6,1.7,2.2,3.9,0.10400000000000001,0.1,-1.6,-1.5,0.2
31,Rickey Brown\brownri01,C,23,GSW,82,11,15.4,2.3,5.1,0.45899999999999996,0.0,0.0,,2.3,5.1,0.45899999999999996,0.45899999999999996,1.0,1.5,0.705,1.7,2.8,4.4,0.2,0.4,0.4,1.0,3.0,5.7,1260,11.2,0.498,0.0,0.292,11.6,20.1,15.8,2.0,1.4,1.3,15.1,17.8,0.4,1.4,1.8,0.068,-3.1,-1.4,-4.6,-0.8
32,Joe Bryant\bryanjo01,SF,27,SDC,75,49,26.5,4.5,9.3,0.486,0.1,0.4,0.267,4.4,8.9,0.496,0.49200000000000005,2.6,3.3,0.785,1.1,2.6,3.7,2.5,1.0,0.4,2.4,3.3,11.8,1988,12.8,0.546,0.043,0.35200000000000004,4.6,12.0,8.2,13.1,1.9,0.8,18.4,20.3,1.0,0.5,1.5,0.036000000000000004,-0.7,-0.9,-1.7,0.2
33,Quinn Buckner\bucknqu01,PG,27,MIL,70,70,30.8,5.7,11.7,0.48200000000000004,0.1,0.2,0.267,5.6,11.5,0.486,0.484,1.6,2.4,0.655,1.1,2.5,3.6,4.7,2.5,0.0,2.6,3.1,12.9,2156,14.4,0.506,0.018000000000000002,0.204,4.3,8.9,6.6,21.4,3.9,0.1,16.7,20.5,0.7,3.9,4.6,0.10300000000000001,-0.2,1.8,1.6,2.0
34,Roger Burkman\burkmro01,SG,23,CHI,6,0,5.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.8,1.0,0.833,0.3,0.7,1.0,0.8,1.0,0.3,0.5,1.0,0.8,30,15.5,0.377,0.25,1.5,7.9,14.5,11.3,19.7,9.7,3.7,31.1,13.5,0.0,0.1,0.1,0.09300000000000001,-2.0,9.2,7.1,0.1
35,David Burns\burnsda01,PG,23,TOT,9,1,9.7,0.8,1.8,0.43799999999999994,0.0,0.0,,0.8,1.8,0.43799999999999994,0.43799999999999994,1.0,1.7,0.6,0.1,0.4,0.6,1.7,0.3,0.0,1.4,1.9,2.6,87,3.6,0.509,0.0,0.938,1.3,5.0,3.1,19.5,1.5,0.0,36.5,15.8,-0.2,0.0,-0.1,-0.071,-6.4,-2.9,-9.4,-0.2
35,David Burns\burnsda01,PG,23,NJN,3,0,11.3,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,1.0,2.0,0.5,0.0,0.7,0.7,1.3,0.3,0.0,1.7,1.3,2.3,34,0.9,0.45799999999999996,0.0,1.2,0.0,6.7,3.3,14.2,1.4,0.0,39.6,14.8,-0.1,0.0,-0.1,-0.094,-9.1,-0.9,-10.0,-0.1
35,David Burns\burnsda01,PG,23,DEN,6,1,8.8,0.8,1.8,0.455,0.0,0.0,,0.8,1.8,0.455,0.455,1.0,1.5,0.667,0.2,0.3,0.5,1.8,0.3,0.0,1.3,2.2,2.7,53,5.3,0.535,0.0,0.818,2.1,3.9,3.0,22.8,1.6,0.0,34.8,16.5,-0.1,0.0,-0.1,-0.055999999999999994,-4.7,-4.3,-9.0,-0.1
36,Don Buse\busedo01,PG,31,IND,82,78,30.8,3.8,8.4,0.455,0.9,2.3,0.386,2.9,6.0,0.48200000000000004,0.509,1.2,1.5,0.813,0.6,2.2,2.7,5.0,2.0,0.3,1.2,2.1,9.7,2529,14.8,0.539,0.276,0.18,1.9,7.8,4.8,22.5,3.2,0.6,11.4,13.7,3.7,3.4,7.1,0.135,1.3,1.3,2.6,2.9
37,Kenny Carr\carrke01,PF,26,TOT,74,48,26.0,4.7,9.4,0.503,0.0,0.1,0.1,4.7,9.2,0.509,0.504,2.7,4.1,0.6559999999999999,2.3,4.9,7.2,1.2,0.9,0.3,2.1,3.4,12.1,1926,14.7,0.5429999999999999,0.013999999999999999,0.436,9.2,22.4,15.5,6.5,1.6,0.6,15.6,20.6,1.3,1.6,2.9,0.073,-1.0,-0.6,-1.6,0.2
37,Kenny Carr\carrke01,PF,26,CLE,46,42,32.2,5.9,11.4,0.517,0.0,0.2,0.111,5.9,11.2,0.524,0.518,3.2,4.8,0.659,2.5,6.1,8.6,1.4,1.3,0.3,2.4,3.9,15.0,1482,15.3,0.5539999999999999,0.017,0.42,8.2,22.7,15.0,6.3,1.9,0.6,15.3,20.4,1.1,1.2,2.3,0.075,-0.6,-0.2,-0.8,0.4
37,Kenny Carr\carrke01,PF,26,DET,28,6,15.9,2.8,6.0,0.45799999999999996,0.0,0.0,0.0,2.8,6.0,0.461,0.45799999999999996,1.9,2.9,0.6459999999999999,1.9,3.0,4.9,0.8,0.2,0.2,1.4,2.5,7.4,444,12.7,0.507,0.006,0.488,12.7,21.4,16.9,7.2,0.6,0.7,16.4,21.5,0.1,0.4,0.6,0.063,-2.3,-1.9,-4.2,-0.3
38,M.L. Carr\carrml01,SF,31,BOS,56,27,23.1,3.3,7.3,0.45,0.1,0.3,0.294,3.2,7.0,0.457,0.456,1.5,2.1,0.7070000000000001,1.0,1.7,2.7,2.3,1.2,0.4,1.1,2.4,8.1,1296,11.9,0.495,0.042,0.284,4.9,7.8,6.4,12.6,2.4,0.9,12.0,16.2,1.0,1.8,2.8,0.10300000000000001,-0.5,1.3,0.8,0.9
39,Joe Barry Carroll\carrojo01,C,23,GSW,76,75,34.6,6.9,13.4,0.519,0.0,0.0,0.0,6.9,13.4,0.519,0.519,3.1,4.3,0.728,2.8,5.6,8.3,0.8,0.8,1.7,2.7,3.5,17.0,2627,15.9,0.557,0.001,0.318,8.6,17.9,13.1,3.4,1.2,2.7,15.1,20.9,2.6,2.9,5.5,0.1,-0.8,0.2,-0.6,0.9
40,Butch Carter\cartebu01,SG,23,IND,75,0,13.8,2.5,5.4,0.46799999999999997,0.1,0.3,0.32,2.4,5.0,0.47700000000000004,0.478,0.8,0.9,0.8290000000000001,0.4,0.7,1.1,0.8,0.5,0.1,0.7,1.5,5.9,1035,11.1,0.511,0.062,0.174,3.1,5.3,4.1,8.8,1.6,0.6,11.1,19.6,0.3,0.9,1.3,0.059000000000000004,-2.2,-1.6,-3.8,-0.5
41,Reggie Carter\cartere01,SG,24,NYK,75,1,12.3,1.6,3.7,0.425,0.0,0.0,,1.6,3.7,0.425,0.425,0.9,1.1,0.8,0.5,0.8,1.3,1.7,0.5,0.1,1.0,1.7,4.0,923,9.4,0.479,0.0,0.28600000000000003,4.3,7.6,5.9,18.5,1.9,0.4,19.8,17.6,-0.3,0.6,0.3,0.016,-3.2,-1.3,-4.5,-0.6
42,Bill Cartwright\cartwbi01,C,24,NYK,72,50,28.6,5.4,9.6,0.562,0.0,0.0,,5.4,9.6,0.562,0.562,3.6,4.7,0.763,1.6,4.2,5.8,1.2,0.7,0.9,2.3,2.9,14.4,2060,16.3,0.616,0.0,0.486,6.3,17.3,11.7,6.0,1.1,1.8,16.5,20.2,3.2,1.8,5.0,0.11599999999999999,-0.2,-0.5,-0.7,0.7
43,Harvey Catchings\catchha01,PF,30,MIL,80,9,20.0,1.2,2.8,0.42,0.0,0.0,,1.2,2.8,0.42,0.42,0.5,0.9,0.594,1.6,2.8,4.5,1.2,0.5,1.7,1.2,3.0,2.9,1603,8.1,0.45,0.0,0.308,9.6,15.6,12.7,7.2,1.3,4.8,27.0,8.9,-0.6,3.0,2.3,0.07,-3.6,4.4,0.9,1.2
44,Bobby Cattage\cattabo01,PF,23,UTA,49,0,6.9,1.2,2.8,0.444,0.0,0.0,0.0,1.2,2.7,0.451,0.444,0.6,0.8,0.732,0.4,1.0,1.5,0.1,0.1,0.0,0.4,1.2,3.1,337,10.5,0.49,0.015,0.304,6.9,16.6,11.6,2.8,1.0,0.0,10.5,20.3,0.1,0.1,0.2,0.027999999999999997,-4.0,-4.4,-8.4,-0.5
45,Tom Chambers\chambto01,PF,22,SDC,81,58,33.1,6.8,13.0,0.525,0.0,0.0,0.0,6.8,13.0,0.526,0.525,3.5,5.7,0.62,2.6,4.3,6.9,1.8,0.7,0.6,2.7,4.2,17.2,2682,15.0,0.5529999999999999,0.002,0.434,9.1,16.0,12.5,7.9,1.0,1.0,14.9,22.4,2.9,0.4,3.3,0.059000000000000004,0.3,-1.7,-1.4,0.4
46,Maurice Cheeks*\cheekma01,PG,25,PHI,79,79,31.6,4.5,8.6,0.521,0.1,0.3,0.273,4.4,8.3,0.529,0.525,2.2,2.8,0.777,0.6,2.5,3.1,8.4,2.6,0.4,2.3,3.1,11.2,2498,18.3,0.57,0.033,0.325,2.4,8.5,5.6,34.7,4.0,0.8,19.2,16.0,4.6,4.0,8.6,0.166,2.0,1.3,3.3,3.3
47,Jim Chones\choneji01,C,32,WSB,59,13,14.7,1.3,2.9,0.433,0.0,0.0,,1.3,2.9,0.433,0.433,0.6,0.8,0.7829999999999999,0.7,2.5,3.1,1.1,0.3,0.5,0.7,1.9,3.1,867,8.6,0.48100000000000004,0.0,0.26899999999999996,5.0,18.1,11.7,9.6,0.8,2.1,17.7,11.2,0.0,1.4,1.4,0.076,-4.1,2.7,-1.4,0.1
48,Don Collins\collido02,SG,23,WSB,79,18,20.4,4.2,8.3,0.511,0.0,0.2,0.083,4.2,8.1,0.52,0.512,1.5,2.1,0.716,1.3,1.2,2.5,1.9,1.1,0.3,1.7,2.5,10.0,1609,15.1,0.5429999999999999,0.018000000000000002,0.259,7.0,6.3,6.7,14.2,2.7,0.8,15.7,22.4,0.9,2.5,3.4,0.10099999999999999,0.3,1.1,1.5,1.4
49,Darwin Cook\cookda01,PG,23,NJN,82,17,25.5,4.7,9.8,0.48200000000000004,0.1,0.4,0.226,4.6,9.4,0.49200000000000005,0.486,1.4,2.0,0.728,0.6,1.3,1.9,3.9,1.8,0.3,2.1,2.4,11.0,2090,13.7,0.514,0.039,0.20199999999999999,2.8,5.6,4.2,21.8,3.3,0.7,16.7,20.0,0.7,3.2,3.9,0.08900000000000001,-0.8,0.8,-0.1,1.0
50,Jeff Cook\cookje01,PF,25,PHO,76,22,17.1,2.0,4.7,0.42200000000000004,0.0,0.0,0.0,2.0,4.7,0.424,0.42200000000000004,1.2,1.8,0.664,1.5,2.5,4.0,1.3,0.5,0.3,1.1,2.3,5.1,1298,10.2,0.469,0.006,0.374,9.8,15.7,12.8,10.0,1.4,1.0,16.1,15.8,0.0,2.0,2.0,0.073,-2.8,0.9,-2.0,0.0
51,Joe Cooper\coopejo01,C,24,NJN,1,0,11.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,11,1.3,0.5,0.0,0.0,10.2,10.4,10.3,0.0,0.0,0.0,33.3,10.9,0.0,0.0,0.0,-0.026000000000000002,-7.3,-3.3,-10.6,0.0
52,Michael Cooper\coopemi01,SG,25,LAL,76,14,28.9,5.0,9.8,0.517,0.0,0.2,0.11800000000000001,5.0,9.5,0.526,0.518,1.8,2.3,0.813,1.1,2.4,3.5,3.0,1.6,0.8,2.0,2.8,11.9,2197,14.3,0.556,0.023,0.231,4.3,8.8,6.7,12.9,2.5,1.5,15.6,17.5,2.4,2.6,5.0,0.109,0.1,1.2,1.2,1.8
